package,date,tidy_depends,tidy_imports,tidy_suggests,total_tidy,tidy,n_imports,depends,imports,suggests,totalverse,totalverse_pct
coxrobust,2006-03-15,FALSE,FALSE,FALSE,0,0,0,"R (≥ 2.0.0), survival",NA,NA,0,0
BayesValidate,2006-03-30,FALSE,FALSE,FALSE,0,0,0,R (≥ 2.0.1),NA,NA,0,0
allelic,2006-05-24,FALSE,FALSE,FALSE,0,0,0,NA,NA,NA,0,0
fuzzyFDR,2007-10-16,FALSE,FALSE,FALSE,0,0,0,NA,NA,NA,0,0
poilog,2008-04-29,FALSE,FALSE,FALSE,0,0,0,NA,NA,NA,0,0
SASPECT,2008-06-23,FALSE,FALSE,FALSE,0,0,0,NA,NA,NA,0,0
RM2,2008-08-13,FALSE,FALSE,FALSE,0,0,0,"R (≥ 2.7.1), msm",NA,NA,0,0
pack,2008-09-08,FALSE,FALSE,FALSE,0,0,0,NA,NA,NA,0,0
expert,2008-10-02,FALSE,FALSE,FALSE,0,0,0,"R (≥ 2.6.0), stats",NA,NA,0,0
kzs,2008-10-28,FALSE,FALSE,FALSE,0,0,0,"R (≥ 2.8.0), graphics, lattice, stats",NA,NA,0,0
ETC,2009-01-30,FALSE,FALSE,FALSE,0,0,1,NA,mvtnorm,"SimComp, multcomp, mratios",0,0
CreditMetrics,2009-02-01,FALSE,FALSE,FALSE,0,0,0,R (≥ 2.2.0),NA,NA,0,0
Reliability,2009-02-01,FALSE,FALSE,FALSE,0,0,0,R (≥ 2.4.0),NA,NA,0,0
spe,2009-02-24,FALSE,FALSE,FALSE,0,0,0,NA,NA,NA,0,0
mcsm,2009-04-28,FALSE,FALSE,FALSE,0,0,0,"stats, MASS, coda",NA,NA,0,0
SEMModComp,2009-05-05,FALSE,FALSE,FALSE,0,0,0,mvtnorm,NA,NA,0,0
bootStepAIC,2009-06-04,FALSE,FALSE,FALSE,0,0,0,"R (≥ 2.3.0), MASS",NA,NA,0,0
HybridMC,2009-06-08,FALSE,FALSE,FALSE,0,0,0,"utils, coda",NA,NA,0,0
PearsonICA,2009-06-29,FALSE,FALSE,FALSE,0,0,0,NA,NA,NA,0,0
crantastic,2009-08-08,FALSE,FALSE,FALSE,0,0,0,NA,NA,NA,0,0
km.ci,2009-08-30,FALSE,FALSE,FALSE,0,0,0,"R (≥ 1.8.0), survival, stats",NA,NA,0,0
HyperbolicDist,2009-09-23,FALSE,FALSE,FALSE,0,0,0,R (≥ 2.3.0),NA,"VarianceGamma, actuar",0,0
packClassic,2009-10-11,FALSE,FALSE,FALSE,0,0,0,graphics,NA,NA,0,0
grouped,2009-10-12,FALSE,FALSE,FALSE,0,0,0,"R (≥ 2.0.0), MASS",NA,NA,0,0
adaptTest,2009-10-16,FALSE,FALSE,FALSE,0,0,0,lattice,NA,NA,0,0
rela,2009-10-27,FALSE,FALSE,FALSE,0,0,0,NA,NA,NA,0,0
LogitNet,2009-11-25,FALSE,FALSE,FALSE,0,0,0,NA,NA,NA,0,0
datamap,2009-12-03,FALSE,FALSE,FALSE,0,0,0,DBI,NA,NA,0,0
SampleSizeProportions,2009-12-17,FALSE,FALSE,FALSE,0,0,0,NA,NA,NA,0,0
HMM,2010-01-10,FALSE,FALSE,FALSE,0,0,0,R (≥ 2.0.0),NA,NA,0,0
fisheyeR,2010-01-28,FALSE,FALSE,FALSE,0,0,0,"tkrplot, methods",NA,NA,0,0
dynamicGraph,2010-02-01,FALSE,FALSE,FALSE,0,0,0,"R (≥ 1.8.1), methods, ggm, tcltk",NA,NA,0,0
scrapeR,2010-02-03,FALSE,FALSE,FALSE,0,0,0,"XML, RCurl",NA,NA,0,0
stam,2010-02-07,FALSE,FALSE,FALSE,0,0,0,"R (≥ 2.10.0), np, sp",NA,NA,0,0
ic50,2010-02-16,FALSE,FALSE,FALSE,0,0,0,tcltk,NA,NA,0,0
