State,Congressional District,Active Loans,Average Borrower Gross Income,Very Low Income,Low Income,Moderate Income,Average Debt Ratio,"American Indian/
Alaskan Native",Asian,"Black/
African-America",Hawaiian/Pacific Islander,White,Hispanic,Married,Average No of Depend,Average Hshld Size,First Time Home Buyer,Average Borrower Age,Disability,PUD,Condo,Coop,Unknown  HSG Proj Type,Detached Structure,Attached Structure,Unknown Stucture,Manufactured Homes,Average Living Area (Square Ft),Average Request Amount,Average Loan Amount,Average LTV,Average Appraised Value
AK,00,"2,926","72,337.58",131,954,"1,674",0,187,132,19,24,"2,578",118,"1,456",0.9,2.3,"2,325",37,10,151,89,3,"2,683","2,405",124,397,0,"1,314","194,095.12","188,640.94",0.98,"194,897.50"
AL,01,"3,543","52,733.67",43,347,"3,110",0,19,17,481,9,"3,023",90,"1,562",0.7,2.2,"3,076",37,18,727,7,6,"2,803","3,427",16,100,2,"1,644","126,428.67","125,783.28",0.99,"127,057.33"
AL,02,"2,922","50,266.44",69,368,"2,449",0,9,13,447,5,"2,459",67,"1,274",0.8,2.2,"2,449",37,15,145,0,0,"2,777","2,754",58,110,0,"1,559","115,463.04","114,710.70",0.98,"117,104.11"
AL,03,"3,496","50,301.94",79,441,"2,942",0,4,4,534,10,"2,952",48,"1,526",0.7,2.1,"2,946",37,22,452,1,1,"3,042","3,336",33,127,0,"1,556","117,638.11","117,095.52",0.98,"119,519.66"
AL,04,"4,699","48,225.72",152,683,"3,789",0,12,23,137,4,"4,525",164,"2,309",0.7,2.1,"3,786",37,30,116,1,1,"4,581","4,417",32,250,0,"1,543","105,005.81","104,266.75",0.98,"106,572.83"
AL,05,"5,689","51,169.88",226,987,"4,328",0,22,31,923,11,"4,715",113,"2,470",0.6,2,"4,473",37,35,670,0,2,"5,017","5,352",20,317,0,"1,634","124,417.89","123,088.99",0.99,"124,698.76"
AL,06,"3,089","51,401.42",43,339,"2,694",0,7,10,521,3,"2,554",49,"1,238",0.6,2.1,"2,631",37,16,916,0,2,"2,171","2,957",85,47,0,"1,522","126,391.64","126,199.54",0.99,"127,522.36"
AL,07,"1,662","52,095.04",23,138,"1,493",0,0,3,584,0,"1,075",21,563,0.7,2,"1,481",37,10,370,0,0,"1,292","1,619",21,22,0,"1,643","133,849.86","133,469.65",0.99,"135,197.01"
AL,14,1,"56,784.00",0,0,1,0,0,0,0,0,1,0,1,0,1,1,38,0,0,0,0,1,1,0,0,0,"1,236","134,464.00","134,464.00",1.01,"133,000.00"
AR,01,"8,427","46,224.40",261,"1,314","6,679",0,17,21,829,11,"7,544",118,"4,017",0.8,2.2,"6,692",38,88,141,0,5,"8,281","7,492",224,711,0,"1,483","95,931.72","95,124.99",0.98,"97,768.51"
AR,02,"5,576","50,323.15",148,949,"4,440",0,12,24,645,12,"4,906",123,"2,633",0.8,2.2,"4,478",37,34,453,4,5,"5,114","5,271",167,138,0,"1,503","120,272.98","119,969.45",0.99,"120,980.60"
AR,03,"8,524","47,661.36",417,"1,835","6,071",0,69,85,93,19,"8,274",671,"4,272",0.7,2.3,"6,824",38,45,872,1,1,"7,650","7,702",244,578,0,"1,466","110,003.14","108,918.05",0.98,"111,554.77"
AR,04,"5,905","45,924.00",261,"1,317","4,247",0,25,29,505,5,"5,335",363,"2,995",0.8,2.3,"4,629",39,63,229,1,2,"5,673","5,191",296,418,0,"1,531","95,474.07","94,926.88",0.98,"97,808.36"
AZ,01,"4,320","52,025.17",325,"1,287","2,643",0,84,52,155,17,"4,011","1,177","1,944",1.1,2.6,"3,630",40,45,"1,917",4,2,"2,397","4,184",33,103,6,"1,784","130,462.22","129,533.42",0.99,"131,029.50"
AZ,02,"1,593","54,078.64",101,478,"1,010",0,15,12,30,9,"1,537",658,758,1.2,2.7,"1,312",39,13,961,2,0,630,"1,545",39,9,0,"1,749","147,689.56","147,500.58",1.00,"146,567.91"
AZ,03,"3,901","46,095.97",472,"1,458","1,947",0,34,28,114,8,"3,720","2,858","2,022",1.3,2.9,"3,557",39,18,"1,705",2,1,"2,193","3,846",20,35,1,"1,638","124,232.60","123,970.54",0.99,"124,111.40"
AZ,04,"5,137","50,390.51",392,"1,720","2,831",0,48,80,106,17,"4,879",934,"2,360",0.9,2.5,"4,189",41,62,"2,349",4,1,"2,783","4,826",31,280,0,"1,711","133,487.99","131,258.71",1.00,"133,846.04"
AZ,05,389,"68,125.97",3,76,309,0,4,6,8,3,368,64,234,1.6,3.3,310,39,1,337,0,0,52,388,0,1,0,"2,199","216,996.38","216,882.09",1.00,"216,842.29"
AZ,06,4,"43,824.00",0,3,1,0,0,0,1,0,3,2,1,1.5,3,4,35,0,3,0,0,1,4,0,0,0,"1,695","150,473.50","150,473.50",0.98,"152,500.00"
AZ,07,11,"39,689.33",1,4,4,0,0,2,0,0,9,7,4,0.6,1.7,8,39,0,5,0,0,6,9,0,2,0,"1,662","113,832.44","102,122.00",1.00,"113,101.89"
AZ,08,331,"55,568.62",9,132,185,0,2,3,17,2,308,81,146,1.1,2.7,277,41,0,217,0,0,114,323,2,6,0,"1,962","166,552.44","165,635.93",0.99,"166,215.48"
AZ,09,3,"43,353.33",0,2,1,0,0,0,0,0,3,0,1,0,1.3,2,56,0,1,0,0,2,3,0,0,0,"2,033","105,817.00","105,817.00",0.99,"107,333.33"
CA,01,"2,866","54,661.76",129,698,"2,031",0,34,20,11,5,"2,807",350,"1,397",1,2.6,"2,563",40,34,150,3,2,"2,711","2,817",27,22,0,"1,385","157,575.57","157,464.32",0.99,"157,100.64"
